# Temperature Correlation_Length Reg_R_Square
0.669750 6.091801 0.986618
0.673461 0.547742 0.783223
0.677171 0.835686 0.562143
0.680882 5.276476 0.204383
0.684592 -2.046958 0.154286
0.688303 7.870922 0.492318
0.692013 -1.316756 0.155561
0.695724 1.233102 0.186943
0.699434 -0.956162 0.467292
0.703145 1.150197 0.182421
0.706855 -100130.521697 0.476302
0.710566 -813581.134085 0.006913
0.714276 53659.925782 0.376292
0.717987 -112673.138522 0.727918
0.721697 79822.833102 0.517958
0.725408 87389.196988 0.140987
0.729118 27416.086971 0.521968
0.732829 81730.786523 0.037968
0.736539 16669.430779 0.737584
0.740250 1297.805501 0.949408
