Epsilon	x_0	T_Value
2.00 0.05 0.074909
2.00 0.10 0.151254
2.00 0.15 0.231577
2.00 0.20 0.231045
2.00 0.25 0.403629
2.00 0.30 0.418545
2.00 0.35 0.549792
2.00 0.40 0.581513
2.00 0.45 0.554193
2.00 0.50 0.702399
2.00 0.55 0.715854
2.00 0.60 0.720948
2.00 0.65 0.682903
2.00 0.70 0.792783
2.00 0.75 0.882344
2.00 0.80 0.835730
2.00 0.85 0.972675
2.00 0.90 1.091882
2.00 0.95 1.051584
2.00 1.00 1.113752
2.00 1.05 1.181913
2.00 1.10 1.143916
2.00 1.15 1.069391
2.00 1.20 1.249348
2.00 1.25 1.283217
2.00 1.30 1.448359
2.00 1.35 1.352009
2.00 1.40 1.280620
2.00 1.45 1.452899
2.00 1.50 1.620711
2.00 1.55 1.541126
2.00 1.60 1.649693
2.00 1.65 1.606817
2.00 1.70 1.657591
2.00 1.75 1.661837
2.00 1.80 1.645130
2.00 1.85 1.904564
2.00 1.90 1.866489
2.00 1.95 1.750292
2.00 2.00 1.839916
