Epsilon	 x_0	 T_Value
0.25 0.05 0.297618
0.25 0.10 0.646004
0.25 0.15 0.775311
0.25 0.20 0.934965
0.25 0.25 1.360180
0.25 0.30 1.371836
0.25 0.35 1.571053
0.25 0.40 2.048147
0.25 0.45 2.078957
0.25 0.50 2.302031
0.25 0.55 2.397787
0.25 0.60 2.621002
0.25 0.65 2.897397
0.25 0.70 2.840183
0.25 0.75 2.956334
0.25 0.80 2.965602
0.25 0.85 3.174599
0.25 0.90 3.192331
0.25 0.95 3.606217
0.25 1.00 3.824347
0.25 1.05 3.575115
0.25 1.10 3.868410
0.25 1.15 3.679013
0.25 1.20 3.630804
0.25 1.25 3.887733
0.25 1.30 4.168977
0.25 1.35 4.203186
0.25 1.40 4.170181
0.25 1.45 4.421498
0.25 1.50 4.601945
0.25 1.55 4.514487
0.25 1.60 4.408069
0.25 1.65 4.651752
0.25 1.70 4.647820
0.25 1.75 4.672269
0.25 1.80 4.890397
0.25 1.85 4.567658
0.25 1.90 5.297517
0.25 1.95 4.768000
0.25 2.00 4.669694
0.50 0.05 0.234565
0.50 0.10 0.362301
0.50 0.15 0.510332
0.50 0.20 0.646532
0.50 0.25 0.816323
0.50 0.30 0.949603
0.50 0.35 1.068070
0.50 0.40 0.960279
0.50 0.45 1.375801
0.50 0.50 1.395519
0.50 0.55 1.549850
0.50 0.60 1.729617
0.50 0.65 1.716586
0.50 0.70 1.980742
0.50 0.75 1.830687
0.50 0.80 2.048534
0.50 0.85 2.200731
0.50 0.90 2.235215
0.50 0.95 2.298377
0.50 1.00 2.245478
0.50 1.05 2.095393
0.50 1.10 2.614512
0.50 1.15 2.703581
0.50 1.20 2.763228
0.50 1.25 2.701609
0.50 1.30 2.786078
0.50 1.35 2.868089
0.50 1.40 2.858463
0.50 1.45 3.068541
0.50 1.50 3.137589
0.50 1.55 2.896324
0.50 1.60 3.032814
0.50 1.65 3.128147
0.50 1.70 3.198374
0.50 1.75 3.339791
0.50 1.80 3.253058
0.50 1.85 3.308623
0.50 1.90 3.441513
0.50 1.95 3.279235
0.50 2.00 3.565776
1.00 0.05 0.179732
1.00 0.10 0.257511
1.00 0.15 0.387301
1.00 0.20 0.424883
1.00 0.25 0.551840
1.00 0.30 0.622017
1.00 0.35 0.654650
1.00 0.40 0.751397
1.00 0.45 0.945717
1.00 0.50 0.871228
1.00 0.55 1.126260
1.00 0.60 1.098328
1.00 0.65 1.206870
1.00 0.70 1.233982
1.00 0.75 1.289643
1.00 0.80 1.232373
1.00 0.85 1.604925
1.00 0.90 1.525779
1.00 0.95 1.476790
1.00 1.00 1.608740
1.00 1.05 1.563507
1.00 1.10 1.670511
1.00 1.15 1.817479
1.00 1.20 1.937888
1.00 1.25 1.854673
1.00 1.30 2.043443
1.00 1.35 1.892889
1.00 1.40 1.979574
1.00 1.45 2.124787
1.00 1.50 2.130131
1.00 1.55 2.142848
1.00 1.60 2.190495
1.00 1.65 2.344819
1.00 1.70 2.098615
1.00 1.75 2.394578
1.00 1.80 2.166970
1.00 1.85 2.351960
1.00 1.90 2.538812
1.00 1.95 2.585547
1.00 2.00 2.501826
2.00 0.05 0.074909
2.00 0.10 0.151254
2.00 0.15 0.231577
2.00 0.20 0.231045
2.00 0.25 0.403629
2.00 0.30 0.418545
2.00 0.35 0.549792
2.00 0.40 0.581513
2.00 0.45 0.554193
2.00 0.50 0.702399
2.00 0.55 0.715854
2.00 0.60 0.720948
2.00 0.65 0.682903
2.00 0.70 0.792783
2.00 0.75 0.882344
2.00 0.80 0.835730
2.00 0.85 0.972675
2.00 0.90 1.091882
2.00 0.95 1.051584
2.00 1.00 1.113752
2.00 1.05 1.181913
2.00 1.10 1.143916
2.00 1.15 1.069391
2.00 1.20 1.249348
2.00 1.25 1.283217
2.00 1.30 1.448359
2.00 1.35 1.352009
2.00 1.40 1.280620
2.00 1.45 1.452899
2.00 1.50 1.620711
2.00 1.55 1.541126
2.00 1.60 1.649693
2.00 1.65 1.606817
2.00 1.70 1.657591
2.00 1.75 1.661837
2.00 1.80 1.645130
2.00 1.85 1.904564
2.00 1.90 1.866489
2.00 1.95 1.750292
2.00 2.00 1.839916
