OriginalTicker,DownloadTicker,Status,Rows,StartDateDownloaded,EndDateDownloaded,File,URL,Error
NVDA,NVDA,Success,2516,2015-01-02,2024-12-31,data\raw_prices\by_ticker\NVDA.csv,https://query1.finance.yahoo.com/v8/finance/chart/NVDA?period1=1420070400&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,
GOOGL,GOOGL,Success,2516,2015-01-02,2024-12-31,data\raw_prices\by_ticker\GOOGL.csv,https://query1.finance.yahoo.com/v8/finance/chart/GOOGL?period1=1420070400&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,
GOOG,GOOG,Success,2516,2015-01-02,2024-12-31,data\raw_prices\by_ticker\GOOG.csv,https://query1.finance.yahoo.com/v8/finance/chart/GOOG?period1=1420070400&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,
AAPL,AAPL,Success,2516,2015-01-02,2024-12-31,data\raw_prices\by_ticker\AAPL.csv,https://query1.finance.yahoo.com/v8/finance/chart/AAPL?period1=1420070400&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,
MSFT,MSFT,Success,2516,2015-01-02,2024-12-31,data\raw_prices\by_ticker\MSFT.csv,https://query1.finance.yahoo.com/v8/finance/chart/MSFT?period1=1420070400&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,
AMZN,AMZN,Success,2516,2015-01-02,2024-12-31,data\raw_prices\by_ticker\AMZN.csv,https://query1.finance.yahoo.com/v8/finance/chart/AMZN?period1=1420070400&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,
AVGO,AVGO,Success,2516,2015-01-02,2024-12-31,data\raw_prices\by_ticker\AVGO.csv,https://query1.finance.yahoo.com/v8/finance/chart/AVGO?period1=1420070400&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,
META,META,Success,2516,2015-01-02,2024-12-31,data\raw_prices\by_ticker\META.csv,https://query1.finance.yahoo.com/v8/finance/chart/META?period1=1420070400&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,
TSLA,TSLA,Success,2516,2015-01-02,2024-12-31,data\raw_prices\by_ticker\TSLA.csv,https://query1.finance.yahoo.com/v8/finance/chart/TSLA?period1=1420070400&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,
WMT,WMT,Success,2516,2015-01-02,2024-12-31,data\raw_prices\by_ticker\WMT.csv,https://query1.finance.yahoo.com/v8/finance/chart/WMT?period1=1420070400&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,
BRK.B,BRK-B,Success,2516,2015-01-02,2024-12-31,data\raw_prices\by_ticker\BRK_B.csv,https://query1.finance.yahoo.com/v8/finance/chart/BRK-B?period1=1420070400&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,
LLY,LLY,Success,2516,2015-01-02,2024-12-31,data\raw_prices\by_ticker\LLY.csv,https://query1.finance.yahoo.com/v8/finance/chart/LLY?period1=1420070400&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,
JPM,JPM,Success,2516,2015-01-02,2024-12-31,data\raw_prices\by_ticker\JPM.csv,https://query1.finance.yahoo.com/v8/finance/chart/JPM?period1=1420070400&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,
MU,MU,Success,2516,2015-01-02,2024-12-31,data\raw_prices\by_ticker\MU.csv,https://query1.finance.yahoo.com/v8/finance/chart/MU?period1=1420070400&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,
XOM,XOM,Success,2516,2015-01-02,2024-12-31,data\raw_prices\by_ticker\XOM.csv,https://query1.finance.yahoo.com/v8/finance/chart/XOM?period1=1420070400&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,
