Ticker,YahooTicker,CompanyName,MarketCap,MarketCapRaw,SelectionDate,Universe
NVDA,NVDA,NVIDIA Corporation,4770000000000.0,4.77T,2026-05-06,S&P500_Top80_by_current_market_cap
GOOGL,GOOGL,Alphabet Inc.,4710000000000.0,4.71T,2026-05-06,S&P500_Top80_by_current_market_cap
GOOG,GOOG,Alphabet Inc.,4680000000000.0,4.68T,2026-05-06,S&P500_Top80_by_current_market_cap
AAPL,AAPL,Apple Inc.,4170000000000.0,4.17T,2026-05-06,S&P500_Top80_by_current_market_cap
MSFT,MSFT,Microsoft Corporation,3060000000000.0,3.06T,2026-05-06,S&P500_Top80_by_current_market_cap
AMZN,AMZN,"Amazon.com, Inc.",2940000000000.0,2.94T,2026-05-06,S&P500_Top80_by_current_market_cap
AVGO,AVGO,Broadcom Inc.,2020000000000.0,2.02T,2026-05-06,S&P500_Top80_by_current_market_cap
META,META,"Meta Platforms, Inc.",1540000000000.0,1.54T,2026-05-06,S&P500_Top80_by_current_market_cap
TSLA,TSLA,"Tesla, Inc.",1460000000000.0,1.46T,2026-05-06,S&P500_Top80_by_current_market_cap
WMT,WMT,Walmart Inc.,1040000000000.0,1.04T,2026-05-06,S&P500_Top80_by_current_market_cap
BRK.B,BRK-B,Berkshire Hathaway Inc.,1000000000000.0,1.00T,2026-05-06,S&P500_Top80_by_current_market_cap
LLY,LLY,Eli Lilly and Company,881820000000.0,881.82B,2026-05-06,S&P500_Top80_by_current_market_cap
JPM,JPM,JPMorgan Chase & Co.,829040000000.0,829.04B,2026-05-06,S&P500_Top80_by_current_market_cap
MU,MU,"Micron Technology, Inc.",721980000000.0,721.98B,2026-05-06,S&P500_Top80_by_current_market_cap
XOM,XOM,Exxon Mobil Corporation,641970000000.0,641.97B,2026-05-06,S&P500_Top80_by_current_market_cap
V,V,Visa Inc.,606740000000.0,606.74B,2026-05-06,S&P500_Top80_by_current_market_cap
AMD,AMD,"Advanced Micro Devices, Inc.",579190000000.0,579.19B,2026-05-06,S&P500_Top80_by_current_market_cap
INTC,INTC,Intel Corporation,543559999999.99994,543.56B,2026-05-06,S&P500_Top80_by_current_market_cap
JNJ,JNJ,Johnson & Johnson,542950000000.00006,542.95B,2026-05-06,S&P500_Top80_by_current_market_cap
ORCL,ORCL,Oracle Corporation,533080000000.00006,533.08B,2026-05-06,S&P500_Top80_by_current_market_cap
