,NVDA,GOOGL,GOOG,AAPL,MSFT,AMZN,AVGO,META,TSLA,WMT,BRK-B,LLY,JPM,MU,XOM,V,AMD,INTC,JNJ,ORCL,COST,MA,CAT,CVX,BAC,CSCO,NFLX,ABBV,LRCX,KO,PG,UNH,AMAT,PLTR,HD,GE,MS,GEV,GS,MRK,PM,TXN,WFC,RTX,LIN,KLAC,C,AXP,IBM,ANET,PEP,TMUS,SNDK,MCD,NEE,VZ,ADI,QCOM,T,DIS,AMGN,BA,TMO,STX,TJX,BLK,APH,GILD,APP,SCHW,WDC,ISRG,ETN,UNP,DE,CRM,ABT,WELL,BX,PFE
2015-01-01,19.39,501.89,48.64,10.15,25.34,292.13,147.35,99.96,15.43,82.54,195.01,97.87,106.87,183.53,196.11,78.06,136.96,57.28,57.35,106.4,177.47,154.37,95.84,182.73,183.06,53.07,131.11,102.63,53.57,175.3,145.27,72.05,180.2,149.47,160.0,179.47,161.09,128.38,91.62,179.31,127.87,162.87,181.22,193.85,65.37,129.89,80.48,197.36,127.56,85.32,198.26,173.86,108.0,151.31,123.62,93.54,181.77,188.11,150.81,172.35,66.77,191.45,165.57,135.89,143.84,188.99,156.17,90.09,191.81,70.72,117.25,52.96,146.84,185.34,58.45,59.94,81.43,161.67,142.47,67.81
2015-01-02,19.55,508.82,47.86,10.25,25.22,294.07,147.46,95.65,15.53,82.43,196.52,94.21,100.89,184.38,202.78,77.42,142.39,57.74,58.4,106.81,182.7,151.93,95.44,183.32,180.43,53.56,132.27,103.51,51.85,176.8,147.76,71.36,179.68,153.22,157.56,180.68,160.43,127.82,91.03,181.96,123.68,164.89,177.01,184.97,65.62,133.21,80.49,193.14,125.44,84.2,200.05,175.49,106.82,153.17,121.83,93.67,184.79,190.36,145.77,173.93,66.69,192.85,164.53,140.08,140.35,193.13,157.62,86.82,199.28,70.88,117.17,52.06,147.16,184.56,57.49,60.01,82.67,163.07,139.96,66.6
2015-01-05,19.78,508.47,47.22,10.1,24.99,295.88,152.86,100.26,15.58,82.48,200.49,92.65,100.19,187.19,204.35,76.75,141.27,56.96,57.27,107.51,183.09,152.96,95.58,187.23,177.25,53.03,132.75,106.13,53.06,177.03,146.69,69.68,174.27,151.44,156.87,179.92,162.27,130.23,92.37,178.18,122.45,163.53,183.17,192.71,65.28,132.59,82.4,189.77,125.36,81.87,196.61,179.03,106.68,152.62,120.79,97.14,187.71,193.67,149.12,176.19,67.13,183.91,167.57,140.79,142.08,185.87,152.28,86.86,195.23,70.99,116.67,50.03,145.48,180.45,55.43,58.92,84.1,161.32,138.75,66.48
2015-01-06,20.39,503.5,46.48,10.0,25.11,302.38,149.94,97.8,16.31,83.04,199.25,91.75,99.0,182.63,202.86,78.02,144.2,56.29,56.57,106.51,177.47,151.85,94.88,189.34,170.02,52.72,134.76,105.02,53.51,174.3,147.26,70.11,178.67,145.3,156.04,178.09,166.69,128.56,91.19,178.96,124.1,163.82,182.15,191.73,65.42,132.37,82.51,190.15,123.25,83.36,190.35,184.08,107.79,150.82,124.25,96.48,190.97,194.2,144.69,175.71,68.63,183.1,170.02,140.09,137.74,186.96,152.79,86.48,190.1,71.15,114.36,49.95,146.08,181.79,55.51,59.38,83.6,155.23,136.83,67.43
2015-01-07,20.05,508.06,46.18,10.03,25.89,301.21,152.03,96.16,15.88,82.69,201.83,93.49,100.66,184.31,204.13,77.15,143.67,55.31,57.3,106.91,176.62,150.07,96.14,189.46,168.82,53.91,136.42,108.29,51.89,175.14,145.66,70.07,175.06,147.78,156.21,173.79,170.89,131.87,91.77,179.65,122.24,160.07,180.5,192.5,66.18,137.37,82.59,187.92,123.63,83.33,194.27,184.49,108.11,150.13,121.68,98.68,189.17,200.13,139.53,175.01,68.61,178.8,168.87,139.18,139.85,197.06,149.52,86.22,180.63,70.52,115.71,48.78,144.79,185.69,55.49,60.01,89.02,151.2,132.36,69.24
2015-01-08,19.84,514.85,46.02,9.92,25.37,301.98,149.32,97.69,16.28,82.05,201.01,92.88,101.69,180.06,204.86,77.09,147.86,56.92,56.34,107.07,176.73,151.88,95.85,189.32,163.8,55.14,137.84,108.14,51.8,172.57,151.73,70.96,175.94,145.67,157.03,176.55,168.76,123.36,91.92,170.58,122.28,158.68,190.02,192.81,66.65,139.72,82.13,186.27,126.26,84.09,195.09,184.4,108.99,153.28,121.06,100.96,189.47,201.45,139.92,176.02,67.87,180.15,171.9,136.19,139.66,198.57,149.87,86.19,182.65,70.99,114.31,49.33,145.77,185.88,56.62,61.61,87.84,155.91,131.74,68.61
2015-01-09,19.49,524.11,46.06,10.14,25.35,297.11,152.84,98.47,16.24,81.47,199.63,93.85,101.25,184.13,201.57,77.57,147.81,56.52,56.54,107.21,176.61,151.3,97.37,194.81,163.09,55.23,141.81,108.71,50.54,173.78,154.71,70.14,180.78,147.15,155.53,179.0,169.42,126.52,91.59,170.76,124.67,160.45,185.47,191.47,66.39,136.82,80.65,192.71,129.23,83.67,193.57,184.25,110.51,154.33,123.47,98.62,196.24,202.24,140.23,172.39,68.66,180.62,175.13,132.32,142.69,202.22,143.61,86.21,189.56,69.99,115.32,49.36,147.19,185.15,56.96,61.82,85.75,155.83,135.94,69.25
2015-01-12,19.06,522.62,45.76,9.75,25.86,301.43,152.08,102.35,16.18,83.35,204.38,93.36,99.98,184.69,198.45,77.19,149.57,55.18,58.34,107.64,175.89,149.85,101.16,191.11,161.89,55.45,138.37,109.15,51.33,172.57,157.52,71.9,179.52,145.82,156.71,180.3,167.2,124.5,90.01,168.49,119.6,159.96,184.96,200.01,65.27,140.06,79.9,192.9,128.69,82.48,196.62,190.44,110.08,153.14,123.0,98.68,198.16,204.22,141.3,170.69,66.57,177.66,182.64,131.63,141.01,192.12,142.58,84.83,185.64,70.74,115.8,49.46,149.22,181.18,58.69,63.46,85.23,154.51,138.14,69.5
2015-01-13,17.66,517.49,46.18,9.69,26.05,297.5,150.2,103.89,15.99,83.6,209.02,94.33,99.72,189.01,201.25,76.22,148.83,53.63,59.1,106.59,176.26,148.69,100.85,185.94,164.33,53.3,139.08,105.66,50.11,167.14,156.98,72.71,181.28,145.3,155.56,182.96,165.96,121.86,90.93,168.77,121.69,160.78,178.19,198.46,64.43,137.64,79.53,191.3,126.26,82.85,198.91,192.28,109.36,153.38,125.0,97.19,193.66,210.82,137.64,169.1,64.81,174.44,183.63,130.8,141.42,192.19,142.58,86.14,194.46,68.34,117.34,49.03,147.36,179.76,59.74,65.67,85.18,154.67,137.45,69.31
2015-01-14,18.17,503.16,45.82,9.63,26.26,290.92,147.81,103.84,16.75,81.79,210.5,92.33,100.59,183.85,202.71,75.17,152.22,53.12,58.39,105.87,178.67,149.76,104.4,183.67,161.61,53.01,144.87,107.44,49.11,164.56,158.64,71.22,180.07,146.06,157.8,185.21,167.25,117.24,91.91,167.84,126.14,165.02,182.18,195.96,65.98,134.02,79.93,190.94,124.13,81.75,199.8,196.62,109.65,151.86,121.77,99.01,194.14,209.76,134.55,164.85,64.39,174.77,180.31,132.61,140.09,188.24,143.28,86.73,194.94,68.68,116.27,48.83,149.51,178.37,60.78,65.58,84.82,154.23,141.15,70.22
